names,nationalities,dial/nego,quality,assigned,status,reviewer
chang-zhang,chino-chino,dial,G,JulianaCorrea,in revision,Juan
kaidi-xuley,chino-chino,dial,G,AlejandroMahecha,,
kaidi-li,chino-chino,dial,G,valecruzdp,,
li-hequian,chino-chino,dial,R,,,
xuley-qianhe,chino-chino,dial,G,NickGalindo,,
zhang-zhaolin,chino-chino,dial,R,,,
zhaolin-changxiaorao,chino-chino,dial,R,,,
pilar-liyue,chino-colombiano,dial,G,Rafaelo13,in revision,Sonia
chang-katerin,chino-colombiano,dial,B,,,
xuley-diego,chino-colombiano,dial,R,,,
cesar-kehui,chino-colombiano,dial,B,,,
juanca-kaidi,chino-colombiano,dial,G,JuanFra0000,,
liyue-carolina,chino-colombiano,dial,G,gurbinaUn,,
zhang-yuly,chino-colombiano,dial,G,danvargasgo,,
claudia-edwin,colombiano-colombiano,dial,B,,,
sergio-martha,colombiano-colombiano,dial,G,SantiagoMirandaPointPy,,
nelly-jorge,colombiano-colombiano,dial,G,anfonsecag,,
andres-santiago,colombiano-colombiano,dial,G,jijosjimal,,
fabian-david,colombiano-colombiano,dial,B,,,
miguel-david,colombiano-colombiano,dial,G,llssrr,,
david-decano,colombiano-colombiano,dial,G,,,
kaidi-xuley,chino-chino,nego,G,,,
kaidi-li,chino-chino,nego,G,,,
li-hequian,chino-chino,nego,B,,,
xuley-qianhe,chino-chino,nego,B,,,
zhang-zhaolin,chino-chino,nego,G,JCP20,,
zhaolin-changxiaorao,chino-chino,nego,B,,,
pilar-liyue,chino-colombiano,nego,G,IJuggernaut,,
chang-katerin,chino-colombiano,nego,R,,,
xuley-diego,chino-colombiano,nego,B,,,
cesar-kehui,chino-colombiano,nego,R,,,
juanca-kaidi,chino-colombiano,nego,G,mald0nad0 ,,
liyue-carolina,chino-colombiano,nego,G,joviedog,,
zhang-yuly,chino-colombiano,nego,G,Jbarreraro,,
claudia-edwin,colombiano-colombiano,nego,G,cajimn,,
sergio-martha,colombiano-colombiano,nego,G,josuarezm,,
nelly-jorge,colombiano-colombiano,nego,R,,,
andres-santiago,colombiano-colombiano,nego,R,,,
fabian-david,colombiano-colombiano,nego,G,Camilo0806,,
miguel-david,colombiano-colombiano,nego,G,jyarac ,,
david-decano,colombiano-colombiano,nego,G,kafkka,,
